"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","L1 Bound","L2 Bound","L3 Bound","DRAM Bound","Store Latency","Split Stores","Store STLB Hit","Store STLB Miss 4K","Store STLB Miss 2M","Store STLB Miss 1G","Core Bound","Retiring","Front-End Bound","Bad Speculation","Core Bound","Store Bound","Loads Blocked by Store Forwarding","Load STLB Hit","Load STLB Miss","Other L1","L2 Bound","L3 Bound","DRAM Bound","Other Load Store","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"BM_BATCH_RoutingTable","18.1705","52298780000","16732223000","3.12563","0.0654021","0.398917","0","0.152791","0.0139844","0","0.692485","0","0","0.000425565","0","0","0","0.130985","0.0120018","0.0060009","0.11101","0","9.32738e-06","0","0.00428636","0.124304","0","0.00257184","0.00171456","0.703828","0.0642775","0.870988","2.87823e+09","timecritsuite.exe","BM_BATCH_RoutingTable(class benchmark::State & const)","Batch_RoutingTable_Approach.cpp","0x140003b60"
"std::_Deallocate","0.0209982","87084000","58056000","1.5","","0","","0","1","0.298563","0.89569","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1472e+09","timecritsuite.exe","std::_Deallocate","xmemory","0x140001e73"
"std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Find_last","0.143988","367688000","297537000","1.23577","0.14","0.0200001","0.14","0.644894","0","0.14331","0.788207","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","2.5536e+09","timecritsuite.exe","std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Find_last","xhash","0x14000232c"
"std::_Hash<class std::_Uset_traits<unsigned int,class std::_Uhash_compare<unsigned int,struct std::hash<unsigned int>,struct std::equal_to<unsigned int> >,class std::allocator<unsigned int>,0> >::emplace<unsigned int>","0","7257000","7257000","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","std::_Hash<class std::_Uset_traits<unsigned int,class std::_Uhash_compare<unsigned int,struct std::hash<unsigned int>,struct std::equal_to<unsigned int> >,class std::allocator<unsigned int>,0> >::emplace<unsigned int>(unsigned int &&)","xhash","0x1400022d0"
"std::_Uninitialized_backout<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<unsigned int> >,std::_Iterator_base0> *>::_Emplace_back","0.00299975","7257000","7257000","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4192e+09","timecritsuite.exe","std::_Uninitialized_backout<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<unsigned int> >,std::_Iterator_base0> *>::_Emplace_back","xmemory","0x140002650"
"benchmark::DoNotOptimize","0.00399967","7257000","12095000","0.6","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","1.8144e+09","timecritsuite.exe","benchmark::DoNotOptimize","benchmark.h","0x140003dcf"
"std::_Fnv1a_append_bytes","0","7257000","29028000","0.25","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","std::_Fnv1a_append_bytes","type_traits","0x1400022e9"
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","0.0059995","7257000","29028000","0.25","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2096e+09","timecritsuite.exe","std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","random","0x1400028fd"
"[Loop at line 67 in GenerateTestPlates]","0.00299975","14514000","65313000","0.222222","0","0","","0","0","0","0","0","0","","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8384e+09","timecritsuite.exe","[Loop at line 67 in GenerateTestPlates(void)]","common.hpp","0x140001ce0"
"[Loop at line 66 in BM_BATCH_RoutingTable]","0.0059995","0","7257000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","","","0","timecritsuite.exe","[Loop at line 66 in BM_BATCH_RoutingTable(class benchmark::State & const)]","Batch_RoutingTable_Approach.cpp","0x140003dc0"
"operator delete[]","0","0","7257000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","operator delete[](void *)","delete_array.cpp","0x14000b980"
"operator new","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","timecritsuite.exe","operator new(unsigned __int64)","new_scalar.cpp","0x14000b988"
"[Loop at line 67 in GenerateTestPlates]","0","0","7257000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","timecritsuite.exe","[Loop at line 67 in GenerateTestPlates(void)]","common.hpp","0x140001ce4"
