"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","L1 Bound","L2 Bound","L3 Bound","DRAM Bound","Store Latency","Split Stores","Store STLB Hit","Store STLB Miss 4K","Store STLB Miss 2M","Store STLB Miss 1G","Core Bound","Retiring","Front-End Bound","Bad Speculation","Core Bound","Store Bound","Loads Blocked by Store Forwarding","Load STLB Hit","Load STLB Miss","Other L1","L2 Bound","L3 Bound","DRAM Bound","Other Load Store","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"[Loop at line 30 in BM_1D_Linear_Array]","2.03083","5798343000","8868054000","0.653846","0.212414","0.664829","0.108963","0.359023","0.044878","0","0.022439","0","0","0","0","0","0","0","0.372056","0.744111","0","0.744111","0","0","0","0","0","0","0","0","0","0.744111","2.85516e+09","timecritsuite.exe","[Loop at line 30 in BM_1D_Linear_Array(class benchmark::State & const)]","1D_Linear_Array_Approach.cpp","0x140002030"
"Car::{ctor}","1.80485","5909617000","4298563000","1.37479","0.117808","0.0890413","0","0.183387","0","0.00894571","0","0.559109","0","0.00286519","0.128524","0","0","0.232877","0.241836","0.0744111","0","0.226954","0.889213","0","0","0","0","0","0.037206","0","0","1","3.2743e+09","timecritsuite.exe","Car::{ctor}","common.hpp","0x140001f30"
"BM_1D_Linear_Array","0.411966","1168377000","1211919000","0.964072","0.24","0.270001","0.139999","0","0.0541475","0.0270737","0.243664","0.703917","0","0.210461","0.172879","0","0","0","0.181702","0.372056","0.100144","0.15589","0.190209","0","0","0","0","0","0","0","0","0.346098","2.8361e+09","timecritsuite.exe","BM_1D_Linear_Array(class benchmark::State & const)","1D_Linear_Array_Approach.cpp","0x140001ec0"
"std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Find_last","0.0899925","275766000","232224000","1.1875","0.2","0","0.085714","0","0","0.188566","0.848548","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.06432e+09","timecritsuite.exe","std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Find_last","xhash","0x14000232c"
"std::_Deallocate","0.0149987","58056000","65313000","0.888889","","0","","0","1","0.447845","1","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.87072e+09","timecritsuite.exe","std::_Deallocate","xmemory","0x140001e73"
"[Loop at line 67 in GenerateTestPlates]","0.0059995","21771000","50799000","0.428571","","","","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6288e+09","timecritsuite.exe","[Loop at line 67 in GenerateTestPlates(void)]","common.hpp","0x140001ce0"
"GenerateTestPlates","0.071994","181425000","21771000","8.33333","0","0","1","0.859861","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.52e+09","timecritsuite.exe","GenerateTestPlates(void)","common.hpp","0x140001980"
"std::_Fnv1a_append_bytes","0","7257000","21771000","0.333333","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","std::_Fnv1a_append_bytes","type_traits","0x1400022e9"
"benchmark::DoNotOptimize","0.00199983","4838000","19352000","0.25","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0.744111","0","0.255889","0","0","0","0","0","0","0","0","0","0","0","2.4192e+09","timecritsuite.exe","benchmark::DoNotOptimize","benchmark.h","0x14000203d"
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","0","7257000","14514000","0.5","","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()(void)","random","0x140002890"
"[Loop at line 67 in GenerateTestPlates]","0","7257000","14514000","0.5","","0","","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","[Loop at line 67 in GenerateTestPlates(void)]","common.hpp","0x140001ce4"
