"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","L1 Bound","L2 Bound","L3 Bound","DRAM Bound","Store Latency","Split Stores","Store STLB Hit","Store STLB Miss 4K","Store STLB Miss 2M","Store STLB Miss 1G","Core Bound","Retiring","Front-End Bound","Bad Speculation","Core Bound","Store Bound","Loads Blocked by Store Forwarding","Load STLB Hit","Load STLB Miss","Other L1","L2 Bound","L3 Bound","DRAM Bound","Other Load Store","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"GenerateTestPlates","0.0809932","253995000","14514000","17.5","0","0.0666668","0.933333","1","0.102365","0","0.307094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.136e+09","timecritsuite.exe","GenerateTestPlates(void)","common.hpp","0x140001980"
"BM_RoutingTable","0.342971","851488000","101598000","8.38095","0.0421053","0.652633","0.199998","0.621285","0","0.124258","0.869803","0.186386","0","0","0.00258379","0","0","0.105263","0","0","0.627944","0","0.144688","0","0","0","0","0","0","0.12402","0.103347","0.372056","2.48268e+09","timecritsuite.exe","BM_RoutingTable(class benchmark::State & const)","1D_RoutingTable_Approach.cpp","0x140002e80"
" [Unknown]","0.342971","851488000","101598000","8.38095","0.0421053","0.652633","0.199998","0.621285","0","0.124258","0.869803","0.186386","0","0","0.00258379","0","0","0.105263","0","0","0.627944","0","0.144688","0","0","0","0","0","0","0.12402","0.103347","0.372056","2.48268e+09","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
"[Loop at line 48 in BM_RoutingTable]","17.7515","51568242000","10498460000","4.91198","0.0314786","0.650638","0.135849","0.000517751","0.0596953","0.00622908","0.826391","0.00103818","0","0","0","0","0","0.0437202","0.018238","0.0036476","0.157403","0","0","0","0","0.109428","0","0.00243177","0","0.53742","0.189669","0.820711","2.90501e+09","timecritsuite.exe","[Loop at line 48 in BM_RoutingTable(class benchmark::State & const)]","1D_RoutingTable_Approach.cpp","0x140003090"
" BM_RoutingTable","17.7515","51568242000","10498460000","4.91198","0.0314786","0.650638","0.135849","0.000517751","0.0596953","0.00622908","0.826391","0.00103818","0","0","0","0","0","0.0437202","0.018238","0.0036476","0.157403","0","0","0","0","0.109428","0","0.00243177","0","0.53742","0.189669","0.820711","2.90501e+09","timecritsuite.exe","BM_RoutingTable(class benchmark::State & const)","1D_RoutingTable_Approach.cpp","0x140002e80"
"std::_Deallocate","0.0269977","130626000","58056000","2.25","0.133333","0","0","0.19904","0.796169","0.199042","0","0.398084","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8384e+09","timecritsuite.exe","std::_Deallocate","xmemory","0x140001e73"
"operator new","0","14514000","7257000","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","timecritsuite.exe","operator new(unsigned __int64)","new_scalar.cpp","0x14000b998"
"benchmark::DoNotOptimize","0.0189984","36285000","21771000","1.66667","0.0666667","0.400001","0","0.716547","0","0","1","0","0","0","0","0","0","1","0","0","","","0","0","0","0","0","","","","","","1.9099e+09","timecritsuite.exe","benchmark::DoNotOptimize","benchmark.h","0x1400030a0"
"std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Find_last","0.107991","275766000","181425000","1.52","0","0","0.75","0","0","0.282849","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5536e+09","timecritsuite.exe","std::_Hash<std::_Uset_traits<unsigned int,std::_Uhash_compare<unsigned int,std::hash<unsigned int>,std::equal_to<unsigned int> >,std::allocator<unsigned int>,0> >::_Find_last","xhash","0x14000232c"
"std::_Uninitialized_backout<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<unsigned int> >,std::_Iterator_base0> *>::_Emplace_back","0.0059995","14514000","14514000","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4192e+09","timecritsuite.exe","std::_Uninitialized_backout<std::_List_unchecked_const_iterator<std::_List_val<std::_List_simple_types<unsigned int> >,std::_Iterator_base0> *>::_Emplace_back","xmemory","0x140002650"
